Index,PubmedID,Condition,Study
13,33980183,risk of cardiovascular disease,"Gao Y, Pang H, et al. Genome-wide analysis of DNA methylation and risk of cardiovascular disease in a Chinese population. BMC Cardiovasc Disord. 2021 May 12;21(1):240. doi: 10.1186/s12872-021-02001-w. PMID: 33980183; PMCID: PMC8117656."
14,30470965,coronary artery disease,"Banerjee S, Ponde CK, et al. Differential methylation pattern in patients with coronary artery disease: pilot study. Mol Biol Rep. 2019 Feb;46(1):541-550. doi: 10.1007/s11033-018-4507-y. Epub 2018 Nov 23. PMID: 30470965."
15,29099282,obesity,"Sayols-Baixeras S, Subirana I, et al. DNA methylation and obesity traits: An epigenome-wide association study. The REGICOR study. Epigenetics. 2017;12(10):909-916. doi: 10.1080/15592294.2017.1363951. Epub 2017 Nov 27. PMID: 29099282; PMCID: PMC5788444."
16,34615528,coronary artery disease,"Xu B, Xu Z, et al. Genetic and epigenetic associations of ANRIL with coronary artery disease and risk factors. BMC Med Genomics. 2021 Oct 6;14(1):240. doi:10.1186/s12920-021-01094-8. PMID: 34615528; PMCID:PMC8496081."
17,35652342,cardiovascular health,"Zheng Y, Joyce BT, et al. Association of Cardiovascular Health Through Young Adulthood With Genome-Wide DNA Methylation Patterns in Midlife: The CARDIA Study. Circulation. 2022 Jul 12;146(2):94-109. doi: 10.1161/CIRCULATIONAHA.121.055484. Epub 2022 Jun 2. PMID: 35652342; PMCID: PMC9348746."
18,31537805,cardiovascular disease,"Huan T, Joehanes R, et al. Genome-wide identification of DNA methylation QTLs in whole blood highlights pathways for cardiovascular disease. Nat Commun. 2019 Sep 19;10(1):4267. doi: 10.1038/s41467-019-12228-z. PMID: 31537805; PMCID: PMC6753136."
19,26015811,"coronary artery disease, smoking","Steenaard RV, Ligthart S, et al. Tobacco smoking is associated with methylation of genes related to coronary artery disease. Clin Epigenetics. 2015 May 14;7(1):54. doi: 10.1186/s13148-015-0088-y. PMID: 26015811; PMCID: PMC4443552."
20,37410739,"ischemic heart disease, type 2 diabates mellitus","Hillary RF, McCartney DL, et al. Blood-based epigenome-wide analyses of 19 common disease states: A longitudinal, population-based linked cohort study of 18,413 Scottish individuals. PLoS Med. 2023 Jul 6;20(7):e1004247. doi:10.1371/journal.pmed.1004247. PMID: 37410739; PMCID: PMC10325072."
21,31499127,coronary artery disease,"Ghose S, Ghosh S, et al. Investigating Coronary Artery Disease methylome through targeted bisulfite sequencing. Gene. 2019 Dec 30;721:144107. doi: 10.1016/j.gene.2019.144107. Epub 2019 Sep 6. PMID: 31499127. "
22,34091768,carotid intima-media thickness,"Portilla-Fernández E, Hwang SJ, et al. Meta-analysis of epigenome-wide association studies of carotid intima-media thickness. Eur J Epidemiol. 2021 Nov;36(11):1143-1155. doi: 10.1007/s10654-021-00759-z. Epub 2021 Jun 6. PMID: 34091768; PMCID: PMC8629903."
23,29115576,acute coronary syndrome,"Li D, Yan J, et al. Genome-wide DNA methylome alterations in acute coronary syndrome. Int J Mol Med. 2018 Jan;41(1):220-232. doi: 10.3892/ijmm.2017.3220. Epub 2017 Oct 27. PMID: 29115576; PMCID: PMC5746328."
24,28838933,heart failure,"Meder B, Haas J, et al. Epigenome-Wide Association Study Identifies Cardiac Gene Patterning and a Novel Class of Biomarkers for Heart Failure. Circulation. 2017 Oct 17;136(16):1528-1544. doi: 10.1161/CIRCULATIONAHA.117.027355. Epub 2017 Aug 24. PMID: 28838933."
25,36978155,coronary heart disease,"Si J, Chen L, et al. Healthy lifestyle, DNA methylation age acceleration, and incident risk of coronary heart disease. Clin Epigenetics. 2023 Mar 28;15(1):52. doi: 10.1186/s13148-023-01464-2. PMID: 36978155; PMCID: PMC10045869."
26,28884387,coronary heart disease,"Wang X, Liu AH, et al. Genome-wide DNA methylation patterns in coronary heart disease. Herz. 2018 Nov;43(7):656-662. English. doi: 10.1007/s00059-017-4616-8.Epub 2017 Sep 7. PMID: 28884387."
27,32947224,"myocardial infarction, smoking","Langsted A, Bojesen SE, et al. AHRR hypomethylation as an epigenetic marker of smoking history predicts risk of myocardial infarction in former smokers. Atherosclerosis. 2020 Nov;312:8-15. doi: 10.1016/j.atherosclerosis.2020.08.034. Epub 2020 Sep 7. PMID: 32947224."
28,29617535,coronary heart disease,"Aslibekyan S, Agha G, et al. Association of Methylation Signals With Incident Coronary Heart Disease in an Epigenome-Wide Assessment of Circulating Tumor Necrosis Factor ?. JAMA Cardiol. 2018 Jun 1;3(6):463-472. doi: 10.1001/jamacardio.2018.0510. Erratum in: JAMA Cardiol. 2018 Jun 1;3(6):505. PMID: 29617535; PMCID: PMC6100733."
29,24418380,myocardial infarction,"Fiorito G, Guarrera S, et al. B-vitamins intake, DNA-methylation of One Carbon Metabolism and homocysteine pathway genes and myocardial infarction risk: the EPICOR study. Nutr Metab Cardiovasc Dis. 2014 May;24(5):483-8. doi: 10.1016/j.numecd.2013.10.026. Epub 2013 Nov 6. PMID: 24418380."
30,28485796,heart failure,"Li B, Feng ZH, et al. The blood genome-wide DNA methylation analysis reveals novel epigenetic changes in human heart failure. Eur Rev Med Pharmacol Sci. 2017 Apr;21(8):1828-1836. PMID: 28485796."
31,25856389,coronary heart disease,"Nazarenko MS, Markov AV, et al. A comparison of genome-wide DNA methylation patterns between different vascular tissues from patients with coronary heart disease. PLoS One. 2015 Apr 9;10(4):e0122601. doi: 10.1371/journal.pone.0122601. PMID: 25856389; PMCID: PMC4391864."
32,18613790,coronary artery disease,"Sharma P, Kumar J, et al. Detection of altered global DNA methylation in coronary artery disease patients. DNA Cell Biol. 2008 Jul;27(7):357-65. doi: 10.1089/dna.2007.0694. PMID: 18613790."
33,20084101,cardiomyopathy,"Movassagh M, Choy MK, Goddard M, Bennett MR, Down TA, Foo RS. Differential DNA methylation correlates with differential expression of angiogenic factors in human heart failure. PLoS One. 2010 Jan 13;5(1):e8564. doi: 10.1371/journal.pone.0008564. PMID: 20084101; PMCID: PMC2797324."
34,22025602,end-stage cardiomyopathy,"Movassagh M, Choy MK, et al. Distinct epigenomic features in end-stage failing human hearts. Circulation. 2011 Nov 29;124(22):2411-22. doi:10.1161/CIRCULATIONAHA.111.040071. Epub 2011 Oct 24. PMID: 22025602; PMCID: PMC3634158."
35,26038090,giant cell arterities,"Coit P, De Lott LB, et al. DNA methylation analysis of the temporal artery microenvironment in giant cell arteritis. Ann Rheum Dis. 2016 Jun;75(6):1196-202. doi: 10.1136/annrheumdis-2014-207116. Epub 2015 Jun 2. PMID: 26038090."
36,33836805,cardiovascular disease,"Palou-Márquez G, Subirana I, et al. DNA methylation and gene expression integration in cardiovascular disease. Clin Epigenetics. 2021 Apr 9;13(1):75. doi: 10.1186/s13148-021-01064-y. PMID: 33836805; PMCID: PMC8034168."
37,20300621,"cardiovascular disease, predisposition to cardiovascular disease","Kim M, Long TI, et al. DNA methylation as a biomarker for cardiovascular disease risk. PLoS One. 2010 Mar 15;5(3):e9692. doi: 10.1371/journal.pone.0009692. PMID: 20300621; PMCID: PMC2837739."
38,25091541,atherosclerosis,"Zaina S, Heyn H, et al. DNA methylation map of human atherosclerosis. Circ Cardiovasc Genet. 2014 Oct;7(5):692-700. doi: 10.1161/CIRCGENETICS.113.000441. Epub 2014 Aug 4. PMID: 25091541."
39,31615550,cardiovascular disease,"Westerman K, Sebastiani P, et al. DNA methylation modules associate with incident cardiovascular disease and cumulative risk factor exposure. Clin Epigenetics. 2019 Oct 15;11(1):142. doi: 10.1186/s13148-019-0705-2. PMID: 31615550; PMCID: PMC6792327."
40,32618141,heart failure,"Bain CR, Ziemann M, et al. DNA methylation patterns from peripheral blood separate coronary artery disease patients with and without heart failure. ESC Heart Fail. 2020 Oct;7(5):2468-2478. doi:10.1002/ehf2.12810. Epub 2020 Jul 2. PMID: 32618141; PMCID: PMC7524212."
41,31298559,heart failure end-stage,"Pepin ME, Drakos S, et al. DNA methylation reprograms cardiac metabolic gene expression in end-stage human heart failure. Am J Physiol Heart Circ Physiol. 2019 Oct 1;317(4):H674-H684. doi: 10.1152/ajpheart.00016.2019. Epub 2019 Jul 12. PMID: 31298559; PMCID: PMC6843013."
42,33670449,cardiomyopathy,"Haas J, Frese KS, et al. Energy Metabolites as Biomarkers in Ischemic and Dilated Cardiomyopathy. Int J Mol Sci. 2021 Feb 18;22(4):1999. doi: 10.3390/ijms22041999. PMID: 33670449; PMCID: PMC7923201."
43,33726838,cardiovascular disease,"Ammous F, Zhao W, et al. Epigenetic age acceleration is associated with cardiometabolic risk factors and clinical cardiovascular disease risk scores in African Americans. Clin Epigenetics. 2021 Mar 16;13(1):55. doi: 10.1186/s13148-021-01035-3. PMID: 33726838; PMCID: PMC7962278."
44,27274774,cardiovascular disease,"Perna L, Zhang Y, et al. Epigenetic age acceleration predicts cancer, cardiovascular, and all-cause mortality in a German case cohort. Clin Epigenetics. 2016 Jun 3;8:64. doi: 10.1186/s13148-016-0228-z. PMID: 27274774; PMCID: PMC4891876."
45,30237808,stroke,"Davis Armstrong NM, Chen WM, et al. Epigenome-Wide Analyses Identify Two Novel Associations With Recurrent Stroke in the Vitamin Intervention for Stroke Prevention Clinical Trial. Front Genet. 2018 Sep 6;9:358. doi: 10.3389/fgene.2018.00358. PMID: 30237808; PMCID: PMC6135883."
46,28075199,cardiac autonomic disfunction,"Zhang J, Liu Z, et al. An epigenome-wide association analysis of cardiac autonomic responses among a population of welders. Epigenetics. 2017 Feb;12(2):71-76. doi: 10.1080/15592294.2016.1270486. Epub 2017 Jan 11. PMID: 28075199; PMCID: PMC5330442."
47,28515798,myocardial infarction,"Nakatochi M, Ichihara S, et al. Epigenome-wide association of myocardial infarction with DNA methylation sites at loci related to cardiovascular disease. Clin Epigenetics.2017 May 15;9:54. doi: 10.1186/s13148-017-0353-3. PMID: 28515798; PMCID:PMC5432989."
48,31928219,aortic valve stenosis,"Nasu T, Satoh M, et al. Epigenome-Wide Association Study Identifies a Novel DNA Methylation in Patients With Severe Aortic Valve Stenosis. Circ Genom Precis Med. 2020 Feb;13(1):e002649. doi: 10.1161/CIRCGEN.119.002649. Epub 2020 Jan 12. PMID: 31928219."
49,28838933,cardiomyopathy,"Meder B, Haas J, et al. Epigenome-Wide Association Study Identifies Cardiac Gene Patterning and a Novel Class of Biomarkers for Heart Failure. Circulation. 2017 Oct 17;136(16):1528-1544. doi: 10.1161/CIRCULATIONAHA.117.027355. Epub 2017 Aug 24. PMID: 28838933."
50,31084332,large-artery atherosclerosis stroke,"Shen Y, Peng C, et al. Epigenome-Wide Association Study Indicates Hypomethylation of MTRNR2L8 in Large-Artery Atherosclerosis Stroke. Stroke. 2019 Jun;50(6):1330-1338. doi: 10.1161/STROKEAHA.118.023436. Epub 2019 May 14. PMID: 31084332."
51,29713043,adiposity,"Campanella G, Gunter MJ, et al. Epigenome-wide association study of adiposity and future risk of obesity-related diseases. Int J Obes (Lond). 2018 Dec;42(12):2022-2035. doi: 10.1038/s41366-018-0064-7. Epub 2018 May 1. PMID: 29713043."
52,28172975,myocardial infarction,"Rask-Andersen M, Martinsson D, et al. Epigenome-wide association study reveals differential DNA methylation in individuals with a history of myocardial infarction. Hum Mol Genet. 2016 Nov 1;25(21):4739-4748. doi: 10.1093/hmg/ddw302. PMID: 28172975."
53,26705428,myocardial infarction,"Guarrera S, Fiorito G, et al. Gene-specific DNA methylation profiles and LINE-1 hypomethylation are associated with myocardial infarction risk. Clin Epigenetics. 2015 Dec 24;7:133. doi: 10.1186/s13148-015-0164-3. PMID: 26705428; PMCID: PMC4690365."
54,28348007,acute coronary syndrome,"Li J, Zhu X, et al. Genome-Wide Analysis of DNA Methylation and Acute Coronary Syndrome. Circ Res. 2017 May 26;120(11):1754-1767. doi:10.1161/CIRCRESAHA.116.310324. Epub 2017 Mar 27. PMID: 28348007."
55,31537805,cardiovascular disease,"Huan T, Joehanes R, et al. Genome-wide identification of DNA methylation QTLs in whole blood highlights pathways for cardiovascular disease. Nat Commun. 2019 Sep 19;10(1):4267. doi: 10.1038/s41467-019-12228-z. PMID: 31537805; PMCID:PMC6753136."
56,28698603,atherosclerosis,"Istas G, Declerck K, Pudenz M, Szic KSV, Lendinez-Tortajada V, Leon-Latre M, Heyninck K, Haegeman G, Casasnovas JA, Tellez-Plaza M, Gerhauser C, Heiss C, Rodriguez-Mateos A, Berghe WV. Identification of differentially methylated BRCA1 and CRISP2 DNA regions as blood surrogate markers for cardiovascular disease. Sci Rep. 2017 Jul 11;7(1):5120. doi: 10.1038/s41598-017-03434-0. PMID: 28698603; PMCID: PMC5506022."
57,31703168,heart failure,"Andersson C, Lin H, et al. Integrated Multiomics Approach to Identify Genetic Underpinnings of Heart Failure and Its Echocardiographic Precursors: Framingham Heart Study. Circ Genom Precis Med. 2019 Dec;12(12):e002489. doi: 10.1161/CIRCGEN.118.002489. Epub 2019 Nov 8. PMID: 31703168."
58,27417303,cardiomyopathy,"Jo BS, Koh IU, et al. Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy. Genomics. 2016 Aug;108(2):84-92. doi: 10.1016/j.ygeno.2016.07.001. Epub 2016 Jul 12. PMID: 27417303."
59,26017925,smoking,"Zhang Y, Schöttker B, et al. Smoking-Associated DNA Methylation Biomarkers and Their Predictive Value for All-Cause and Cardiovascular Mortality. Environ Health Perspect. 2016 Jan;124(1):67-74. doi: 10.1289/ehp.1409020. Epub 2015 May 27. PMID: 26017925; PMCID: PMC4710597."
60,29507647,abdominal aortic aneurism,"Toghill BJ, Saratzis A, et al. SMYD2 promoter DNA methylation is associated with abdominal aortic aneurysm (AAA) and SMYD2 expression in vascular smooth muscle cells. Clin Epigenetics. 2018 Mar 2;10:29. doi: 10.1186/s13148-018-0460-9. PMID: 29507647; PMCID: PMC5833080."
61,28526543,cardiomyopathy,"Gil-Cayuela C, Roselló-LLetí E, et al. Thyroid hormone biosynthesis machinery is altered in the ischemic myocardium: An epigenomic study. Int J Cardiol. 2017 Sep 15;243:27-33. doi: 10.1016/j.ijcard.2017.05.042. Epub 2017 May 11. PMID: 28526543."
62,32765783,atherosclerosis,"Chen WD, Song T, et al. Atherosclerosis prediction by microarray-based DNA methylation analysis. Exp Ther Med. 2020 Sep;20(3):2863-2869. doi:10.3892/etm.2020.9025. Epub 2020 Jul 21. PMID: 32765783; PMCID: PMC7401703."
63,34252155,stroke,"Davis Armstrong NM, Chen WM, et al. DNA methylation analyses identify an intronic ZDHHC6 locus associated with time to recurrent stroke in the Vitamin Intervention for Stroke Prevention (VISP) clinical trial. PLoS One. 2021 Jul 12;16(7):e0254562. doi: 10.1371/journal.pone.0254562. PMID: 34252155; PMCID:PMC8274879."
64,33661917,stroke,"Davis Armstrong NM, Spragley KJ, et al. Multi-omic analysis of stroke recurrence in African Americans from the Vitamin Intervention for Stroke Prevention (VISP) clinical trial. PLoS One. 2021 Mar 4;16(3):e0247257. doi: 10.1371/journal.pone.0247257. PMID: 33661917; PMCID: PMC7932724."
65,31527307,stroke,"Deng GX, Xu N, et al. Association between promoter DNA methylation and gene expression in the pathogenesis of ischemic stroke. Aging (Albany NY). 2019 Sep 17;11(18):7663-7677. doi: 10.18632/aging.102278. Epub 2019 Sep 17. PMID: 31527307; PMCID: PMC6781986."
66,33883000,myocardial infarction,"Fernández-Sanlés A, Sayols-Baixeras S, et al. DNA methylation biomarkers of myocardial infarction and cardiovascular disease. Clin Epigenetics. 2021 Apr 21;13(1):86. doi: 10.1186/s13148-021-01078-6. PMID: 33883000; PMCID: PMC8061080."
67,30825235,coronary artery disease,"Heidari L, Ghaderian SMH, et al. Promoter methylation and functional variants in arachidonate 5-lipoxygenase and forkhead box protein O1 genes associated with coronary artery disease. J Cell Biochem. 2019 Aug;120(8):12360-12368. doi: 10.1002/jcb.28501. Epub 2019 Mar 1. PMID: 30825235."
68,32803503,coronary artery disease,"Indumathi B, Oruganti SS, et al. Probing the epigenetic signatures in subjects with coronary artery disease. Mol Biol Rep. 2020 Sep;47(9):6693-6703. doi: 10.1007/s11033-020-05723-w. Epub 2020 Aug 14. PMID: 32803503."
69,30867120,atherosclerosis,"Jiang D, Sun M, et al. DNA methylation and hydroxymethylation are associated with the degree of coronary atherosclerosis in elderly patients with coronary heart disease. Life Sci. 2019 May 1;224:241-248. doi: 10.1016/j.lfs.2019.03.021. Epub 2019 Mar 10. PMID: 30867120."
70,29115576,acute coronary syndrome,"Li D, Yan J, et al. Genome-wide DNA methylome alterations in acute coronary syndrome. Int J Mol Med. 2018 Jan;41(1):220-232. doi: 10.3892/ijmm.2017.3220. Epub 2017 Oct 27. PMID: 29115576; PMCID: PMC5746328."
71,34793329,valvular heart disease,"Li N, Zhu L, et al. BMPR2 promoter methylation and its expression in valvular heart disease complicated with pulmonary artery hypertension. Aging (Albany NY). 2021 Nov 18;13(22):24580-24604. doi: 10.18632/aging.203690. Epub 2021 Nov 18. PMID: 34793329; PMCID: PMC8660616."
72,28067321,atrial fibrillation,"Lin H, Yin X, et al. Methylome-wide Association Study of Atrial Fibrillation in Framingham Heart Study. Sci Rep. 2017 Jan 9;7:40377. doi: 10.1038/srep40377. PMID: 28067321; PMCID: PMC5220313."
73,30844764,coronary artery disease,"Miao L, Yin RX, et al. Integrated DNA methylation and gene expression analysis in the pathogenesis of coronary artery disease. Aging (Albany NY). 2019 Mar 7;11(5):1486-1500. doi:10.18632/aging.101847. PMID: 30844764; PMCID: PMC6428103."
74,34837967,coronary artery disease,"Miroshnikova VV, Panteleeva AA, et al. ABCA1 and ABCG1 DNA methylation in epicardial adipose tissue of patients with coronary artery disease. BMC Cardiovasc Disord. 2021 Nov 27;21(1):566. doi: 10.1186/s12872-021-02379-7. PMID: 34837967; PMCID: PMC8627066."
75,33134510,stroke,"Mo XB, Zhang H, et al. Integrative analysis identifies the association between CASZ1 methylation and ischemic stroke. Neurol Genet. 2020 Sep 1;6(5):e509. doi: 10.1212/NXG.0000000000000509. PMID: 33134510; PMCID: PMC7577558."
76,33769919,end-stage heart failure,"Pepin ME, Ha CM, et al. Racial and socioeconomic disparity associates with differences in cardiac DNA methylation among men with end-stage heart failure. Am J Physiol Heart Circ Physiol. 2021 May 1;320(5):H2066-H2079. doi: 10.1152/ajpheart.00036.2021. Epub 2021 Mar 26. PMID: 33769919; PMCID: PMC8163657."
77,28846808,valvular atrial fibrillation,"Shen K, Tu T, et al. DNA methylation dysregulations in valvular atrial fibrillation. Clin Cardiol. 2017 Sep;40(9):686-691. doi: 10.1002/clc.22715. Epub 2017 Aug 28. PMID: 28846808; PMCID: PMC6490353."
78,32202197,stroke,"Soriano-Tárraga C, Lazcano U, et al. Identification of 20 novel loci associated with ischaemic stroke. Epigenome-wide association study. Epigenetics. 2020 Sep;15(9):988-997. doi: 10.1080/15592294.2020.1746507. Epub 2020 Apr 6. PMID: 32202197; PMCID: PMC7518691."
79,35480311,stroke,"Sun H, Xu J, et al. Association of DNA Methylation Patterns in 7 Novel Genes With Ischemic Stroke in the Northern Chinese Population. Front Genet. 2022 Apr 11;13:844141.doi: 10.3389/fgene.2022.844141. PMID: 35480311; PMCID: PMC9035884."
80,22101166,myocardial infarction,"Talens RP, Jukema JW, et al. Hypermethylation at loci sensitive to the prenatal environment is associated with increased incidence of myocardial infarction. Int J Epidemiol. 2012 Feb;41(1):106-15. doi: 10.1093/ije/dyr153. Epub 2011 Nov 17. PMID: 22101166; PMCID: PMC3663184."
81,29436575,atherosclerosis,"Yamada Y, Horibe H, et al. Identification of novel hyper- or hypomethylated CpG sites and genes associated with atherosclerotic plaque using an epigenome-wide association study. Int J Mol Med. 2018 May;41(5):2724-2732. doi: 10.3892/ijmm.2018.3453. Epub 2018 Feb 2. PMID: 29436575; PMCID: PMC5846673."
82,24626634,atherosclerosis,"Yamada Y, Nishida T, et al. Identification of hypo- and hypermethylated genes related to atherosclerosis by a genome-wide analysis of DNA methylation. Int J Mol Med. 2014 May;33(5):1355-63. doi: 10.3892/ijmm.2014.1692. Epub 2014 Mar 10. PMID: 24626634."
83,35345488,atherosclerosis,"Zhang H, Mo X, et al. Association of DNA Methylation in Blood Pressure-Related Genes With Ischemic Stroke Risk and Prognosis. Front Cardiovasc Med. 2022 Mar 8;9:796245. doi: 10.3389/fcvm.2022.796245. PMID: 35345488; PMCID: PMC8957103."
84,25651499,obesity,"Benton MC, Johnstone A, et al. An analysis of DNA methylation in human adipose tissue reveals differential modification of obesity genes before and after gastric bypass and weight loss. Genome Biol. 2015 Jan 22;16(1):8. doi: 10.1186/s13059-014-0569-x. PMID: 25651499; PMCID: PMC4301800."
85,34627379,coronary heart disease,"Xia Y, Brewer A, et al. DNA methylation signatures of incident coronary heart disease: findings from epigenome-wide association studies. Clin Epigenetics. 2021 Oct 9;13(1):186. doi: 10.1186/s13148-021-01175-6. PMID: 34627379; PMCID: PMC8501606."
86,26110892,body mass index,"Aslibekyan S, Demerath EW, et al. Epigenome-wide study identifies novel methylation loci associated with body mass index and waist circumference. Obesity (Silver Spring). 2015 Jul;23(7):1493-501. doi: 10.1002/oby.21111. PMID: 26110892; PMCID: PMC4482015."
87,27105587,hypertension,"Boström AE, Mwinyi J, et al. Longitudinal genome-wide methylation study of Roux-en-Y gastric bypass patients reveals novel CpG sites associated with essential hypertension. BMC Med Genomics. 2016 Apr 22;9:20. doi: 10.1186/s12920-016-0180-y. PMID: 27105587; PMCID: PMC4841955."
88,37848499,aortic augmentation index,"Hu X, Logan JG, et al. Multi-ancestry epigenome-wide analyses identify methylated sites associated with aortic augmentation index in TOPMed MESA. Sci Rep. 2023 Oct 17;13(1):17680. doi: 10.1038/s41598-023-44806-z. PMID: 37848499; PMCID: PMC10582077."
89,37410739,cardiovascular disease,"Hillary RF, McCartney DL, et al. Blood-based epigenome-wide analyses of 19 common disease states: A longitudinal, population-based linked cohort study of 18,413 Scottish individuals. PLoS Med. 2023 Jul 6;20(7):e1004247. doi: 10.1371/journal.pmed.1004247. PMID: 37410739; PMCID: PMC10325072."
90,37207321,cardiovascular death,"Sumida K, Mozhui K, et al. DNA methylation signatures with premature ageing and cardiovascular death in patients with end-stage kidney disease: a pilot epigenome-wide association study. Epigenetics. 2023 Dec;18(1):2214394. doi: 10.1080/15592294.2023.2214394. PMID: 37207321; PMCID: PMC10202091."
91,35717949,stroke,"Cullell N, Soriano-Tárraga C, et al. DNA Methylation and Ischemic Stroke Risk: An Epigenome-Wide Association Study. Thromb Haemost. 2022 ct;122(10):1767-1778. doi: 10.1055/s-0042-1749328. Epub 2022 Jun 19. PMID: 35717949."
92,37216580,"smoking, alcohol, hypertension","Carreras-Gallo N, Dwaraka VB, et al. Impact of tobacco, alcohol, and marijuana on genome-wide DNA methylation and its relationship with hypertension. Epigenetics. 2023 Dec;18(1):2214392. doi:10.1080/15592294.2023.2214392. PMID: 37216580; PMCID: PMC10208152."
93,36376295,heart failure,"Levin MG, Tsao NL, et al. Genome-wide association and multi-trait analyses characterize the common genetic architecture of heart failure. Nat Commun. 2022 Nov 14;13(1):6914. doi: 10.1038/s41467-022-34216-6. PMID: 36376295; PMCID: PMC9663424."
94,37542143,cardiomyopathy,"Singh P, Zhou L, et al. Identification of novel hypermethylated or hypomethylated CpG sites and genes associated with anthracycline-induced cardiomyopathy. Sci Rep. 2023 Aug 4;13(1):12683. doi: 10.1038/s41598-023-39357-2. PMID: 37542143; PMCID: PMC10403495."
95,36970338,cardiotoxic heart failure,"Robinson EL, Ameri P, et al. Differential expression of epigenetic modifiers in early and late cardiotoxic heart failure reveals DNA methylation as a key regulator of cardiotoxicity. Front Cardiovasc Med. 2023 Mar 9;10:884174. doi: 10.3389/fcvm.2023.884174. PMID: 36970338; PMCID: PMC10034031."
96,30798618,heart failure,"Glezeva N, Moran B, et al. Targeted DNA Methylation Profiling of Human Cardiac Tissue Reveals Novel Epigenetic Traits and Gene Deregulation Across Different Heart Failure Patient Subtypes. Circ Heart Fail. 2019 Mar;12(3):e005765. doi: 10.1161/CIRCHEARTFAILURE.118.005765. PMID: 30798618."
